,number,value,datetime_start,datetime_complete,duration,params_AAPL_FAST_beta_win,params_AAPL_FAST_stop_loss,params_AAPL_FAST_trade_freq,params_AAPL_FAST_z_entry,params_AAPL_FAST_z_exit,params_AAPL_FAST_z_stop_scaler,params_AAPL_FAST_z_win,params_ABNB_PCAR_beta_win,params_ABNB_PCAR_stop_loss,params_ABNB_PCAR_trade_freq,params_ABNB_PCAR_z_entry,params_ABNB_PCAR_z_exit,params_ABNB_PCAR_z_stop_scaler,params_ABNB_PCAR_z_win,params_ADI_HON_beta_win,params_ADI_HON_stop_loss,params_ADI_HON_trade_freq,params_ADI_HON_z_entry,params_ADI_HON_z_exit,params_ADI_HON_z_stop_scaler,params_ADI_HON_z_win,params_ADP_INTU_beta_win,params_ADP_INTU_stop_loss,params_ADP_INTU_trade_freq,params_ADP_INTU_z_entry,params_ADP_INTU_z_exit,params_ADP_INTU_z_stop_scaler,params_ADP_INTU_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_MU_beta_win,params_AMZN_MU_stop_loss,params_AMZN_MU_trade_freq,params_AMZN_MU_z_entry,params_AMZN_MU_z_exit,params_AMZN_MU_z_stop_scaler,params_AMZN_MU_z_win,params_BKNG_INTU_beta_win,params_BKNG_INTU_stop_loss,params_BKNG_INTU_trade_freq,params_BKNG_INTU_z_entry,params_BKNG_INTU_z_exit,params_BKNG_INTU_z_stop_scaler,params_BKNG_INTU_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_HON_INTU_beta_win,params_HON_INTU_stop_loss,params_HON_INTU_trade_freq,params_HON_INTU_z_entry,params_HON_INTU_z_exit,params_HON_INTU_z_stop_scaler,params_HON_INTU_z_win,params_META_ROST_beta_win,params_META_ROST_stop_loss,params_META_ROST_trade_freq,params_META_ROST_z_entry,params_META_ROST_z_exit,params_META_ROST_z_stop_scaler,params_META_ROST_z_win,params_NVDA_ROST_beta_win,params_NVDA_ROST_stop_loss,params_NVDA_ROST_trade_freq,params_NVDA_ROST_z_entry,params_NVDA_ROST_z_exit,params_NVDA_ROST_z_stop_scaler,params_NVDA_ROST_z_win,params_PAYX_SIRI_beta_win,params_PAYX_SIRI_stop_loss,params_PAYX_SIRI_trade_freq,params_PAYX_SIRI_z_entry,params_PAYX_SIRI_z_exit,params_PAYX_SIRI_z_stop_scaler,params_PAYX_SIRI_z_win,params_ROST_SGEN_beta_win,params_ROST_SGEN_stop_loss,params_ROST_SGEN_trade_freq,params_ROST_SGEN_z_entry,params_ROST_SGEN_z_exit,params_ROST_SGEN_z_stop_scaler,params_ROST_SGEN_z_win,params_buffer_capital,params_pairs_to_trade,state
126,126,6.1301630123469515,2025-06-15 01:31:26.402730,2025-06-15 01:31:32.294361,0 days 00:00:05.891631,18.0,0.007,4m,2.5,2.0,1.1,562.0,798.0,0.001,2m,1.0,2.0,1.6,414.0,132.0,0.008,3m,2.0,3.0,1.8,566.0,510.0,0.005,4m,1.0,4.0,1.7000000000000002,934.0,664.0,0.006,1m,2.5,1.5,0.6,178.0,952.0,0.006,1m,2.0,4.0,1.2000000000000002,864.0,376,0.01,1m,2.5,1.0,0.6,394,,,,,,,,518.0,0.005,3m,4.0,4.0,0.7,762.0,316,0.008,3m,2.5,1.0,2.0,240,420.0,0.008,2m,3.5,1.5,0.8,510.0,336.0,0.009000000000000001,2m,3.5,1.0,0.6,164.0,966.0,0.002,1m,3.0,1.5,0.9,222.0,0.2,9,COMPLETE
127,127,8.445898155440197,2025-06-15 01:31:32.365420,2025-06-15 01:31:38.105577,0 days 00:00:05.740157,68.0,0.008,4m,2.0,1.5,1.2000000000000002,794.0,840.0,0.001,2m,1.0,2.0,1.8,336.0,106.0,0.008,3m,2.0,3.0,1.9000000000000001,614.0,492.0,0.006,2m,1.0,3.5,1.8,968.0,942.0,0.005,1m,2.5,1.5,0.8,58.0,890.0,0.005,1m,2.0,4.0,1.1,822.0,328,0.01,1m,2.5,1.0,0.9,458,,,,,,,,558.0,0.005,3m,4.0,4.0,0.8,654.0,324,0.009000000000000001,4m,2.5,1.0,2.0,46,532.0,0.009000000000000001,2m,3.5,1.0,0.9,434.0,238.0,0.01,2m,3.5,1.0,0.5,86.0,968.0,0.002,1m,3.0,1.5,1.0,240.0,0.2,9,COMPLETE
128,128,6.464069748065187,2025-06-15 01:31:38.187806,2025-06-15 01:31:44.234919,0 days 00:00:06.047113,64.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,828.0,836.0,0.001,2m,1.0,2.0,1.8,382.0,100.0,0.008,3m,2.0,3.0,2.0,586.0,488.0,0.006,2m,1.0,3.5,1.7000000000000002,968.0,912.0,0.005,1m,2.5,1.5,0.8,64.0,880.0,0.006,1m,2.0,4.0,1.0,810.0,264,0.01,1m,2.5,1.0,0.5,454,,,,,,,,618.0,0.005,3m,4.0,4.0,0.8,648.0,216,0.009000000000000001,4m,2.5,1.0,2.0,20,526.0,0.009000000000000001,2m,3.5,1.0,0.9,434.0,250.0,0.01,2m,3.5,1.0,0.5,96.0,982.0,0.002,1m,3.0,1.5,0.9,192.0,0.2,9,COMPLETE
129,129,3.0556747395993216,2025-06-15 01:31:44.320956,2025-06-15 01:31:50.774108,0 days 00:00:06.453152,156.0,0.007,4m,2.0,1.0,1.0,668.0,916.0,0.001,2m,1.0,1.5,1.8,472.0,50.0,0.009000000000000001,3m,1.5,2.5,1.9000000000000001,616.0,540.0,0.006,2m,1.0,4.0,1.8,992.0,834.0,0.005,1m,3.0,1.5,0.9,50.0,908.0,0.005,1m,2.0,4.0,1.2000000000000002,916.0,326,0.01,1m,2.5,1.0,0.9,464,1022.0,0.006,4m,3.0,3.0,1.6,982.0,552.0,0.005,3m,4.0,4.0,0.8,680.0,250,0.01,4m,2.5,1.0,2.0,106,596.0,0.009000000000000001,2m,3.0,1.5,0.7,490.0,228.0,0.01,2m,3.0,1.0,0.5,50.0,1024.0,0.003,1m,3.0,1.5,1.0,298.0,0.2,10,COMPLETE
130,130,1.3951381612545002,2025-06-15 01:31:50.867723,2025-06-15 01:31:56.508928,0 days 00:00:05.641205,62.0,0.008,4m,2.5,2.0,1.4,502.0,862.0,0.001,2m,1.0,2.0,1.7000000000000002,336.0,138.0,0.009000000000000001,3m,2.0,3.0,1.8,542.0,392.0,0.006,2m,1.0,3.5,1.8,894.0,896.0,0.005,1m,2.5,1.5,0.8,124.0,866.0,0.005,1m,1.5,4.0,1.1,1002.0,308,0.01,1m,2.5,1.0,0.7,342,,,,,,,,560.0,0.005,3m,4.0,4.0,0.7,720.0,278,0.009000000000000001,4m,2.5,1.0,1.9000000000000001,40,570.0,0.008,2m,3.5,2.0,0.8,446.0,192.0,0.009000000000000001,2m,3.5,1.0,0.7,106.0,990.0,0.002,1m,3.0,1.0,0.8,254.0,0.25,9,COMPLETE
131,131,9.76001647314591,2025-06-15 01:31:56.592160,2025-06-15 01:32:03.190574,0 days 00:00:06.598414,164.0,0.006,4m,3.5,1.5,1.4,850.0,810.0,0.001,2m,1.0,2.0,1.9000000000000001,356.0,106.0,0.007,3m,2.0,3.0,1.9000000000000001,674.0,498.0,0.005,2m,1.0,4.0,1.8,1016.0,954.0,0.005,1m,2.5,1.5,0.8,90.0,1024.0,0.005,1m,2.5,4.0,1.1,962.0,346,0.01,1m,2.5,1.0,0.8,494,,,,,,,,646.0,0.004,3m,4.0,4.0,0.7,644.0,330,0.008,4m,2.5,1.0,2.0,62,458.0,0.009000000000000001,2m,3.5,2.5,0.9,412.0,292.0,0.01,2m,3.5,1.0,0.6,214.0,932.0,0.001,1m,3.0,1.5,0.9,236.0,0.2,9,COMPLETE
132,132,6.131039350448654,2025-06-15 01:32:03.317899,2025-06-15 01:32:11.002606,0 days 00:00:07.684707,158.0,0.006,4m,3.5,1.5,1.5,868.0,810.0,0.001,2m,1.0,2.0,1.9000000000000001,360.0,114.0,0.007,3m,2.0,3.0,1.9000000000000001,668.0,428.0,0.005,2m,1.0,4.0,1.7000000000000002,1020.0,946.0,0.005,1m,2.5,1.5,0.9,96.0,938.0,0.005,1m,2.5,4.0,1.1,952.0,344,0.01,1m,2.5,1.0,0.8,500,,,,,,,,582.0,0.004,3m,4.0,4.0,0.7,650.0,328,0.008,4m,2.5,1.0,2.0,166,486.0,0.009000000000000001,2m,3.5,2.5,0.9,388.0,292.0,0.01,2m,3.5,1.0,0.6,222.0,1008.0,0.001,1m,3.0,1.5,0.9,210.0,0.15000000000000002,9,COMPLETE
133,133,6.081319421764316,2025-06-15 01:32:11.080046,2025-06-15 01:32:16.861008,0 days 00:00:05.780962,20.0,0.005,4m,3.5,1.5,1.3,1018.0,848.0,0.001,2m,1.0,2.0,1.8,328.0,16.0,0.008,3m,2.0,3.0,2.0,600.0,600.0,0.005,2m,1.0,4.0,1.8,942.0,784.0,0.006,1m,2.5,1.5,0.8,80.0,994.0,0.006,1m,2.5,4.0,1.2000000000000002,850.0,368,0.01,1m,3.0,1.0,0.8,418,,,,,,,,658.0,0.005,3m,4.0,4.0,0.7,632.0,374,0.008,4m,2.5,1.0,2.0,58,652.0,0.009000000000000001,2m,3.5,2.0,0.8,420.0,382.0,0.01,2m,3.5,1.0,0.5,154.0,928.0,0.002,1m,3.0,1.5,1.0,232.0,0.2,9,COMPLETE
134,134,2.567591732145187,2025-06-15 01:32:16.922210,2025-06-15 01:32:22.777393,0 days 00:00:05.855183,164.0,0.006,4m,2.0,1.0,1.2000000000000002,772.0,874.0,0.001,2m,1.0,2.5,1.9000000000000001,428.0,86.0,0.007,3m,2.0,3.0,1.9000000000000001,638.0,496.0,0.005,2m,1.0,4.0,1.9000000000000001,1024.0,604.0,0.005,1m,2.5,1.5,0.7,56.0,1020.0,0.005,1m,2.0,3.5,1.3,900.0,400,0.01,1m,2.5,1.0,0.9,362,,,,,,,,530.0,0.004,3m,4.0,4.0,0.6,670.0,310,0.009000000000000001,4m,2.5,1.0,2.0,86,508.0,0.008,2m,3.5,1.0,0.9,456.0,448.0,0.009000000000000001,2m,3.5,1.0,0.6,190.0,970.0,0.003,1m,2.5,1.5,0.9,172.0,0.2,9,COMPLETE
135,135,6.9701642238538435,2025-06-15 01:32:22.855824,2025-06-15 01:32:29.047831,0 days 00:00:06.192007,90.0,0.007,4m,3.0,2.0,1.4,922.0,906.0,0.001,2m,1.0,2.0,1.7000000000000002,296.0,112.0,0.007,3m,2.0,3.0,1.8,684.0,468.0,0.006,2m,1.0,3.0,1.8,910.0,976.0,0.006,1m,2.5,1.5,0.8,30.0,958.0,0.005,1m,2.5,4.0,1.1,964.0,342,0.01,1m,2.5,1.0,0.7,530,306.0,0.003,1m,3.0,2.0,0.8,678.0,488.0,0.005,3m,4.0,4.0,1.3,704.0,328,0.008,4m,2.5,1.0,1.9000000000000001,72,450.0,0.01,2m,3.0,2.0,0.7,530.0,152.0,0.009000000000000001,2m,3.5,1.0,0.7,130.0,892.0,0.002,1m,3.0,1.5,0.8,266.0,0.25,10,COMPLETE
136,136,7.811031789814403,2025-06-15 01:32:29.107291,2025-06-15 01:32:35.178530,0 days 00:00:06.071239,288.0,0.009000000000000001,4m,2.5,1.5,1.0,458.0,830.0,0.001,2m,1.0,2.0,2.0,310.0,160.0,0.008,3m,2.0,2.5,1.9000000000000001,732.0,520.0,0.006,2m,1.0,4.0,1.1,966.0,642.0,0.005,1m,3.0,1.5,0.7,128.0,928.0,0.004,1m,2.5,4.0,1.0,820.0,288,0.01,1m,2.5,1.0,0.9,454,,,,,,,,696.0,0.004,3m,4.0,4.0,0.9,790.0,296,0.008,4m,2.5,1.0,2.0,124,548.0,0.007,2m,3.5,1.0,1.0,554.0,292.0,0.01,2m,3.5,1.5,0.5,272.0,924.0,0.001,1m,3.0,2.0,0.9,356.0,0.2,9,COMPLETE
137,137,3.0008000493947184,2025-06-15 01:32:35.234113,2025-06-15 01:32:41.620074,0 days 00:00:06.385961,124.0,0.005,4m,2.0,1.0,1.1,542.0,768.0,0.001,2m,1.0,2.5,1.3,388.0,38.0,0.007,3m,3.5,3.0,2.0,512.0,552.0,0.004,2m,1.5,4.0,1.8,868.0,952.0,0.005,1m,2.5,1.5,0.9,170.0,964.0,0.005,1m,1.5,4.0,0.9,994.0,386,0.01,1m,2.5,1.0,1.1,498,726.0,0.008,3m,2.0,3.5,1.6,264.0,602.0,0.004,3m,4.0,4.0,0.8,730.0,346,0.008,4m,2.5,1.0,1.9000000000000001,114,384.0,0.007,2m,3.5,1.5,1.1,432.0,418.0,0.009000000000000001,2m,3.0,1.0,0.8,230.0,972.0,0.001,3m,2.5,1.5,0.8,284.0,0.2,10,COMPLETE
138,138,9.507901312964684,2025-06-15 01:32:41.742640,2025-06-15 01:32:47.855636,0 days 00:00:06.112996,60.0,0.006,3m,4.0,2.0,1.5,662.0,800.0,0.001,2m,1.0,1.5,1.7000000000000002,348.0,58.0,0.007,3m,2.0,3.0,1.9000000000000001,668.0,434.0,0.006,2m,1.0,4.0,1.9000000000000001,1000.0,936.0,0.005,1m,2.5,1.5,0.9,106.0,890.0,0.006,1m,3.0,3.5,1.3,930.0,254,0.01,1m,2.5,1.0,0.8,558,,,,,,,,648.0,0.005,3m,4.0,4.0,0.7,688.0,382,0.009000000000000001,4m,2.5,1.0,2.0,48,428.0,0.009000000000000001,2m,3.0,2.5,0.9,478.0,352.0,0.01,2m,3.5,1.5,0.6,76.0,994.0,0.002,1m,3.0,1.5,0.8,238.0,0.15000000000000002,9,COMPLETE
139,139,8.701967663831425,2025-06-15 01:32:47.949390,2025-06-15 01:32:53.941608,0 days 00:00:05.992218,62.0,0.006,3m,4.0,2.0,1.7000000000000002,700.0,794.0,0.001,2m,1.0,1.5,1.7000000000000002,350.0,70.0,0.008,3m,2.0,3.0,1.8,664.0,444.0,0.006,2m,1.0,4.0,1.9000000000000001,980.0,886.0,0.005,1m,2.5,1.5,0.9,108.0,816.0,0.006,1m,3.0,3.5,1.3,938.0,186,0.01,1m,2.5,1.0,0.8,398,,,,,,,,648.0,0.005,3m,4.0,4.0,2.0,660.0,390,0.009000000000000001,4m,2.5,1.0,2.0,42,430.0,0.009000000000000001,2m,3.0,2.5,0.8,490.0,354.0,0.01,2m,3.5,1.5,0.6,88.0,1000.0,0.003,1m,3.0,1.5,1.0,248.0,0.15000000000000002,9,COMPLETE
140,140,7.602943690271595,2025-06-15 01:32:54.014679,2025-06-15 01:33:00.097804,0 days 00:00:06.083125,54.0,0.006,3m,4.0,2.5,1.7000000000000002,706.0,810.0,0.001,2m,1.0,1.5,1.6,360.0,64.0,0.008,3m,2.0,3.0,1.7000000000000002,634.0,454.0,0.006,2m,1.0,4.0,1.9000000000000001,994.0,930.0,0.005,1m,2.5,1.5,0.9,108.0,822.0,0.006,1m,3.0,3.5,1.4,936.0,210,0.01,1m,2.5,1.0,0.6,390,,,,,,,,656.0,0.005,3m,4.0,4.0,0.7,688.0,384,0.01,4m,2.5,1.0,1.2000000000000002,54,462.0,0.009000000000000001,2m,3.0,2.5,0.9,482.0,344.0,0.01,2m,3.5,1.5,0.6,48.0,1002.0,0.003,1m,3.0,1.5,1.0,326.0,0.15000000000000002,9,COMPLETE
141,141,10.726478796887063,2025-06-15 01:33:00.177494,2025-06-15 01:33:06.443891,0 days 00:00:06.266397,100.0,0.006,3m,4.0,2.0,1.8,620.0,784.0,0.007,2m,1.0,1.5,1.7000000000000002,344.0,184.0,0.009000000000000001,3m,2.0,3.0,1.8,654.0,482.0,0.006,2m,1.0,4.0,1.9000000000000001,972.0,888.0,0.005,1m,2.5,1.5,0.8,84.0,880.0,0.007,1m,3.0,3.5,1.3,974.0,152,0.01,1m,2.5,1.0,0.8,430,,,,,,,,642.0,0.005,3m,4.0,4.0,1.8,660.0,370,0.009000000000000001,4m,2.5,1.0,2.0,34,424.0,0.009000000000000001,2m,3.0,2.5,0.8,470.0,304.0,0.01,2m,3.5,1.5,0.6,90.0,982.0,0.002,1m,3.0,1.5,1.0,242.0,0.15000000000000002,9,COMPLETE
142,142,10.263103519991745,2025-06-15 01:33:06.516696,2025-06-15 01:33:12.615712,0 days 00:00:06.099016,94.0,0.007,3m,4.0,2.0,1.8,644.0,758.0,0.007,2m,1.0,1.5,1.7000000000000002,404.0,96.0,0.01,3m,2.0,3.0,1.8,674.0,424.0,0.006,2m,1.0,4.0,1.9000000000000001,980.0,884.0,0.005,1m,2.5,1.5,0.8,86.0,884.0,0.007,1m,3.0,3.5,1.3,914.0,96,0.01,1m,2.5,1.0,0.5,424,,,,,,,,634.0,0.005,3m,4.0,4.0,2.0,640.0,370,0.009000000000000001,4m,2.5,1.0,2.0,44,412.0,0.009000000000000001,2m,3.0,2.5,0.8,510.0,300.0,0.01,2m,3.5,1.5,0.6,84.0,998.0,0.002,1m,3.0,1.5,1.0,246.0,0.15000000000000002,9,COMPLETE
143,143,8.741178046068224,2025-06-15 01:33:12.671626,2025-06-15 01:33:18.750980,0 days 00:00:06.079354,114.0,0.007,3m,4.0,2.0,1.8,632.0,786.0,0.007,2m,1.0,1.5,1.7000000000000002,402.0,84.0,0.01,3m,2.0,3.0,1.7000000000000002,658.0,426.0,0.005,2m,1.0,4.0,2.0,976.0,886.0,0.005,1m,2.5,1.5,0.8,76.0,856.0,0.007,1m,3.0,3.5,1.3,874.0,94,0.01,1m,2.5,1.0,0.5,434,,,,,,,,640.0,0.005,3m,4.0,4.0,2.0,656.0,368,0.009000000000000001,4m,2.5,1.0,2.0,16,404.0,0.009000000000000001,2m,3.0,2.5,0.7,512.0,296.0,0.01,2m,3.5,1.5,0.7,82.0,984.0,0.002,1m,3.0,1.5,1.1,238.0,0.15000000000000002,9,COMPLETE
144,144,9.01360105546761,2025-06-15 01:33:18.843549,2025-06-15 01:33:24.903547,0 days 00:00:06.059998,116.0,0.007,3m,4.0,2.0,1.9000000000000001,640.0,756.0,0.007,2m,1.0,1.5,1.7000000000000002,402.0,58.0,0.01,3m,2.0,3.0,1.7000000000000002,672.0,436.0,0.005,2m,1.0,4.0,2.0,990.0,882.0,0.005,1m,2.5,1.5,0.9,84.0,854.0,0.007,1m,3.0,3.5,1.3,874.0,72,0.01,1m,2.5,1.0,0.5,406,,,,,,,,642.0,0.005,3m,4.0,4.0,2.0,764.0,372,0.009000000000000001,4m,2.5,1.0,1.9000000000000001,22,406.0,0.009000000000000001,2m,3.0,2.5,0.6,634.0,300.0,0.01,2m,3.5,1.5,0.7,76.0,982.0,0.004,1m,3.0,1.5,1.1,188.0,0.15000000000000002,9,COMPLETE
145,145,7.877980139653219,2025-06-15 01:33:24.972509,2025-06-15 01:33:31.402578,0 days 00:00:06.430069,122.0,0.007,3m,4.0,2.0,1.8,650.0,758.0,0.007,2m,1.0,1.5,1.7000000000000002,404.0,74.0,0.01,3m,2.0,3.0,1.7000000000000002,666.0,424.0,0.005,2m,1.0,4.0,2.0,980.0,862.0,0.005,1m,2.5,1.5,0.9,82.0,860.0,0.007,1m,3.0,3.5,1.3,870.0,80,0.01,1m,2.5,1.0,0.5,428,,,,,,,,680.0,0.005,3m,4.0,4.0,2.0,766.0,360,0.009000000000000001,4m,2.5,1.0,1.9000000000000001,20,420.0,0.009000000000000001,2m,3.0,2.5,0.6,698.0,304.0,0.01,2m,3.5,1.5,0.7,72.0,1014.0,0.004,1m,3.0,1.5,1.0,188.0,0.15000000000000002,9,COMPLETE
146,146,4.705003604217495,2025-06-15 01:33:31.485444,2025-06-15 01:33:37.996628,0 days 00:00:06.511184,118.0,0.006,3m,4.0,2.0,1.9000000000000001,594.0,780.0,0.007,2m,1.0,1.5,1.7000000000000002,492.0,56.0,0.01,3m,2.0,3.0,1.8,700.0,442.0,0.005,2m,1.0,4.0,2.0,1006.0,886.0,0.005,1m,2.5,1.5,0.8,140.0,804.0,0.007,1m,3.0,3.5,1.4,906.0,94,0.01,1m,2.5,1.0,0.5,404,692.0,0.004,4m,3.5,1.5,1.6,670.0,610.0,0.005,3m,4.0,4.0,1.9000000000000001,828.0,374,0.009000000000000001,4m,2.5,1.0,2.0,66,400.0,0.009000000000000001,2m,3.0,2.5,0.6,512.0,360.0,0.01,2m,3.5,1.5,0.7,44.0,988.0,0.003,1m,3.0,1.0,1.1,130.0,0.15000000000000002,10,COMPLETE
147,147,5.386040387042767,2025-06-15 01:33:38.074747,2025-06-15 01:33:43.843941,0 days 00:00:05.769194,18.0,0.006,3m,4.0,2.0,2.0,640.0,794.0,0.007,2m,1.0,1.5,1.6,464.0,88.0,0.01,3m,2.0,3.0,1.7000000000000002,658.0,398.0,0.005,2m,1.0,4.0,1.9000000000000001,988.0,828.0,0.006,1m,2.5,1.5,0.9,28.0,764.0,0.007,1m,3.0,3.5,1.3,924.0,136,0.01,1m,2.5,1.0,0.5,410,,,,,,,,640.0,0.004,3m,4.0,4.0,1.9000000000000001,744.0,392,0.01,4m,2.5,1.0,1.9000000000000001,82,410.0,0.01,2m,3.0,2.5,0.7,776.0,322.0,0.01,2m,3.5,1.5,0.6,100.0,954.0,0.002,1m,3.0,1.5,1.1,200.0,0.15000000000000002,9,COMPLETE
148,148,4.895642600383931,2025-06-15 01:33:43.923260,2025-06-15 01:33:49.906954,0 days 00:00:05.983694,182.0,0.007,3m,4.0,2.5,1.8,712.0,710.0,0.008,2m,1.0,1.5,1.6,442.0,30.0,0.009000000000000001,3m,2.0,3.0,1.6,694.0,404.0,0.005,2m,1.0,4.0,2.0,1024.0,860.0,0.005,1m,2.5,1.5,0.6,80.0,838.0,0.007,1m,3.0,3.5,1.3,878.0,164,0.01,1m,3.0,1.0,0.5,364,,,,,,,,650.0,0.005,3m,4.0,4.0,2.0,614.0,344,0.009000000000000001,4m,2.5,1.0,2.0,130,464.0,0.008,2m,3.0,2.5,0.8,556.0,276.0,0.01,2m,3.5,1.5,0.8,136.0,994.0,0.002,1m,3.0,1.5,1.1,254.0,0.15000000000000002,9,COMPLETE
149,149,6.316662533506472,2025-06-15 01:33:49.993159,2025-06-15 01:33:55.284544,0 days 00:00:05.291385,,,,,,,,766.0,0.007,2m,1.0,1.5,1.7000000000000002,422.0,120.0,0.009000000000000001,3m,2.0,3.0,1.8,678.0,378.0,0.005,2m,1.0,4.0,2.0,958.0,794.0,0.005,1m,3.0,1.5,0.9,50.0,876.0,0.006,1m,3.0,3.0,1.5,968.0,64,0.01,1m,2.5,1.0,0.6,442,,,,,,,,688.0,0.005,3m,4.0,4.0,2.0,694.0,370,0.009000000000000001,4m,2.5,1.0,1.9000000000000001,32,388.0,0.009000000000000001,2m,3.0,2.5,0.7,504.0,268.0,0.01,2m,3.5,1.5,0.6,106.0,938.0,0.002,1m,3.0,2.0,1.1,86.0,0.15000000000000002,8,COMPLETE
