date,time,PRICE_COST_COST_ON_INTU,PRICE_INTU_COST_ON_INTU,PRICE_FAST_FAST_ON_MU,PRICE_MU_FAST_ON_MU,BETA_FAST_ON_MU,SPREAD_FAST_ON_MU,Z_FAST_ON_MU,Z_VOL_FAST_ON_MU,BETA_COST_ON_INTU,SPREAD_COST_ON_INTU,Z_COST_ON_INTU,Z_VOL_COST_ON_INTU,market_close,SIGNAL_FAST_ON_MU,SIGNAL_COST_ON_INTU,POS_FAST_ON_MU,POS_COST_ON_INTU,POS_BETA_FAST_ON_MU,POS_BETA_COST_ON_INTU,PAIR_BASE_FAST_ON_MU,PAIR_BASE_COST_ON_INTU,PAIR_RET_FAST_ON_MU,PAIR_RET_COST_ON_INTU,SL_FAST_ON_MU,SL_COST_ON_INTU,LOSS_FAST_ON_MU,LOSS_COST_ON_INTU,COOLDOWN_FAST_ON_MU,COOLDOWN_COST_ON_INTU,CAPITAL_FAST_ON_MU,CAPITAL_COST_ON_INTU,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-04-11,18:58:00.000000000,499.42,439.74,26.495,63.7599,,,,,0.19640598727241596,413.0524311568278,2.581243777355556,1.555763359320337,0,0.0,-1.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.233178496240445,586.3554891836269,-0.00009830837677335882,-0.00002558240523510152,0.0,0.0,-0.004206128981669832,-0.010268533862483609,0.0,0.0,0.04653779905787076,0.9249119884489416,0.0024605247972059666,0.9739103123040184,-0.00002899318845712846
2023-04-11,18:59:00.000000000,499.52,439.95,26.4975,63.775,0.031659216725287244,24.478433453344806,0.7524844718574537,0.5753844087112844,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.23609014204436,586.4970056541061,-0.00007396808674437098,-0.00009974073851020217,0.0,0.0,-0.004304023860730588,-0.010293853573924205,0.0,0.0,0.04653435674591316,0.9248197370441569,0.0024605247972059666,0.9738146185872759,-0.00009825721684378158
2023-04-11,19:00:00.000000000,499.51,440.02,26.475,63.76,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.2131812223716,586.5008444775992,0.0007823703712554112,0.00004064611287568032,0.0,0.0,-0.0043776735870647565,-0.0103925675958767,0.0,0.0,0.04657076384787659,0.9248573273715784,0.0024605247972059666,0.973888616016661,0.00007598718274780501
2023-04-11,19:01:00.000000000,499.535,439.725,26.47,63.77,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.20845383548677,586.4675237214498,0.0001868847427597776,-0.00014206417080897882,0.0,0.0,-0.003598728177918842,-0.010352343900476568,0.0,0.0,0.04657946721309843,0.9247259382822488,0.0024605247972059666,0.9737659302925532,-0.00012597510853919473
2023-04-11,19:02:00.000000000,499.3301,439.78,26.4556,63.745,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.19337230269883,586.2734970827657,0.00048632467741981046,0.00036792039215880016,0.0,0.0,-0.0034125159825487694,-0.010492937374133371,0.0,0.0,0.04660211995746522,0.9250661638121009,0.0024605247972059666,0.9741288085667721,0.00037265451884300316
2023-04-11,19:03:00.000000000,499.46,439.86,26.47,63.765,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.208317528929186,586.4192128810436,-0.0004914195301253251,-0.00019459211833697953,0.0,0.0,-0.0029278508958634486,-0.010128877547608273,0.0,0.0,0.04657921876557288,0.9248861532276829,0.0024605247972059666,0.9739258967904617,-0.00020830076528474673
2023-04-11,19:04:00.000000000,499.405,439.86,26.465,63.77,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.203453835486773,586.3642128810436,0.00018208482488604066,0.00009378956008244514,0.0,0.0,-0.003417831622877232,-0.010321498666206907,0.0,0.0,0.04658770013446514,0.9249728978931205,0.0024605247972059666,0.9740211228247916,0.00009777544127709316
2023-04-11,19:05:00.000000000,499.28,439.73,26.4525,63.765,,,,,0.19653701077999622,412.85678024971224,2.565709255822898,1.5569806159824504,0,0.0,-1.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.190817528929188,586.2135122088421,0.00043837515484918633,0.0001693475243154395,0.0,0.0,-0.003236369133263639,-0.010228677154943688,0.0,0.0,0.04660812302472565,0.9251295397634376,0.0024605247972059666,0.9741981875853691,0.00018178739293049255
2023-04-11,19:06:00.000000000,499.215,439.5,26.4375,63.74,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.175135996141243,586.1030417887933,0.0005079124504765915,0.00003331478982397361,0.0,0.0,-0.0027994127222344956,-0.01006106183178146,0.0,0.0,0.046631795870703256,0.9251603602596147,0.0024605247972059666,0.9742526809275238,0.00005593660802197603
2023-04-11,19:07:00.000000000,499.42,439.63,26.43,63.78,,,,,,,,,0,0.0,0.0,-1.0,-1.0,0.027261311517747754,0.19769747847279498,28.16872644860195,586.3337424609949,0.0003048948002197856,-0.00030591775680149436,0.0,0.0,-0.002292922128333541,-0.010028082224117885,0.0,0.0,0.04664601366278914,0.9248773372775224,0.0024605247972059666,0.9739838757375174,-0.0002759091098938217
