date,time,PRICE_BIIB_BIIB_ON_SIRI,PRICE_SIRI_BIIB_ON_SIRI,PRICE_JD_JD_ON_TMUS,PRICE_TMUS_JD_ON_TMUS,BETA_JD_ON_TMUS,SPREAD_JD_ON_TMUS,Z_JD_ON_TMUS,BETA_BIIB_ON_SIRI,SPREAD_BIIB_ON_SIRI,Z_BIIB_ON_SIRI,market_close,SIGNAL_JD_ON_TMUS,SIGNAL_BIIB_ON_SIRI,POS_JD_ON_TMUS,POS_BIIB_ON_SIRI,POS_BETA_JD_ON_TMUS,POS_BETA_BIIB_ON_SIRI,PAIR_BASE_JD_ON_TMUS,PAIR_BASE_BIIB_ON_SIRI,PAIR_RET_JD_ON_TMUS,PAIR_RET_BIIB_ON_SIRI,SL_JD_ON_TMUS,SL_BIIB_ON_SIRI,LOSS_JD_ON_TMUS,LOSS_BIIB_ON_SIRI,COOLDOWN_JD_ON_TMUS,COOLDOWN_BIIB_ON_SIRI,CAPITAL_JD_ON_TMUS,CAPITAL_BIIB_ON_SIRI,REMAINING_CAPITAL,CAPITAL,PORT_RET
2021-05-26,13:44:00.000000000,271.24,60.2,72.86,137.605,-0.22538912084230464,103.87466997350532,-0.07452147078407832,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:45:00.000000000,270.92,60.1,72.85,137.41,-0.2189913527310985,102.94160177878024,-0.10041587789175606,-1.7112916365841582,373.76862735870793,0.29511046487198545,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:46:00.000000000,270.84,60.05,72.99,137.39,-0.2120948673053236,102.1297138190784,-0.1242100815694109,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:47:00.000000000,271.0,60.25,72.98,137.44,-0.2045976638768107,101.09990292322887,-0.15331331593349504,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:48:00.000000000,270.58,60.35,72.99,137.48,-0.19591375368232353,99.92422285624583,-0.18630814627444722,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:49:00.000000000,270.34,60.5,72.91,137.54,-0.187066806217945,98.63916852721616,-0.22250726709296026,-1.6834910839557624,372.1912105793236,0.2793935813272068,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:50:00.000000000,269.89,60.4,72.98,137.485,-0.1778744593230301,97.4350700400268,-0.2577240257184627,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:51:00.000000000,271.16,60.3,73.05,137.54,-0.16696305831210442,96.01409904024683,-0.2988486836273652,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:52:00.000000000,272.43,60.301,72.85,137.64,-0.1562605715052366,94.35770506198075,-0.3464427213617411,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:53:00.000000000,272.6,60.4,72.895,137.61,-0.1437436101493432,92.67555819265112,-0.3956834153940171,-1.643502571872896,371.86755534112297,0.2705018488706762,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:54:00.000000000,271.85,60.4,72.86,137.6,-0.13111935639428243,90.90202343985327,-0.44818578487581634,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:55:00.000000000,271.63,60.5,72.96,137.56,-0.11826492412237898,89.22852296227444,-0.49937822120257513,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:56:00.000000000,271.0,60.45,72.95,137.48,-0.10553915478753638,87.4595230001905,-0.5540340852099414,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:57:00.000000000,271.4,60.5,73.012,137.51,-0.09179388261029786,85.63457679774206,-0.6113273958409058,-1.6114580642179308,368.89321288518477,0.24673125543612776,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:58:00.000000000,271.55,60.5,73.17,137.62,-0.07522573188467511,83.52256522196899,-0.6770673007499007,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,13:59:00.000000000,270.96,60.55,73.07,137.72,-0.0598785794099067,81.31647795633235,-0.7464263858637126,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,14:00:00.000000000,270.75,60.5,72.978,137.77,-0.04560659226620078,79.26122021651447,-0.8131587341870794,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,14:01:00.000000000,270.64,60.4,72.8649,137.76,-0.033914828302972,77.53700674701743,-0.8724915237797248,-1.5734308317911736,365.6752222401869,0.2213436250558659,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
2021-05-26,14:02:00.000000000,270.64,60.45,72.74,137.65,-0.02156636011409821,75.7086094697056,-0.9355180736104901,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941845140594223,0.9941845140594223,0.0
